#p	 replica	 essentials	 correct	 fp	 fn
0.0	0	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	0	233	0.5842911877394636	0.028735632183908046	0.38697318007662834
0.04	0	244	0.5823754789272031	0.040229885057471264	0.3773946360153257
0.06	0	243	0.5689655172413793	0.04597701149425287	0.3850574712643678
0.08	0	276	0.6053639846743295	0.05938697318007663	0.33524904214559387
0.1	0	280	0.6091954022988506	0.06130268199233716	0.32950191570881227
0.12	0	294	0.6091954022988506	0.07471264367816093	0.3160919540229885
0.14	0	301	0.5881226053639846	0.09195402298850575	0.31992337164750956
0.16	0	308	0.6091954022988506	0.08812260536398467	0.30268199233716475
0.18	0	317	0.603448275862069	0.09961685823754789	0.29693486590038315
0.2	0	324	0.5977011494252874	0.10919540229885058	0.29310344827586204
0.22	0	343	0.6111111111111112	0.1206896551724138	0.2681992337164751
0.24	0	332	0.5900383141762452	0.1206896551724138	0.289272030651341
0.26	0	338	0.6091954022988506	0.11685823754789272	0.2739463601532567
0.28	0	351	0.6187739463601533	0.12452107279693486	0.2567049808429119
0.3	0	354	0.6168582375478927	0.12835249042145594	0.2547892720306513
0.32	0	361	0.6302681992337165	0.12835249042145594	0.2413793103448276
0.34	0	355	0.6264367816091954	0.12452107279693486	0.24904214559386972
0.36	0	359	0.6455938697318008	0.11877394636015326	0.23563218390804597
0.38	0	371	0.6647509578544061	0.1206896551724138	0.21455938697318008
0.4	0	369	0.6647509578544061	0.11877394636015326	0.2164750957854406
0.42	0	371	0.6609195402298851	0.12260536398467432	0.2164750957854406
0.44	0	374	0.6628352490421456	0.12452107279693486	0.21264367816091953
0.46	0	386	0.6781609195402298	0.12835249042145594	0.19348659003831417
0.48	0	383	0.6685823754789272	0.13026819923371646	0.20114942528735633
0.5	0	387	0.6685823754789272	0.13409961685823754	0.19731800766283525
0.52	0	392	0.6781609195402298	0.13409961685823754	0.18773946360153257
0.54	0	400	0.6896551724137931	0.1360153256704981	0.1743295019157088
0.56	0	404	0.6896551724137931	0.13984674329501914	0.17049808429118773
0.58	0	402	0.6781609195402298	0.14367816091954022	0.1781609195402299
0.6	0	405	0.6877394636015326	0.1417624521072797	0.17049808429118773
0.62	0	403	0.6800766283524904	0.14367816091954022	0.17624521072796934
0.64	0	420	0.6934865900383141	0.1532567049808429	0.1532567049808429
0.66	0	427	0.6992337164750958	0.15708812260536398	0.14367816091954022
0.68	0	431	0.6992337164750958	0.16091954022988506	0.13984674329501914
0.7000000000000001	0	431	0.6915708812260536	0.16475095785440613	0.14367816091954022
0.72	0	436	0.6934865900383141	0.1685823754789272	0.13793103448275862
0.74	0	446	0.7049808429118773	0.1724137931034483	0.12260536398467432
0.76	0	445	0.7183908045977011	0.16475095785440613	0.11685823754789272
0.78	0	446	0.7203065134099617	0.16475095785440613	0.11494252873563218
0.8	0	443	0.7183908045977011	0.16283524904214558	0.11877394636015326
0.8200000000000001	0	445	0.7183908045977011	0.16475095785440613	0.11685823754789272
0.84	0	444	0.7088122605363985	0.1685823754789272	0.12260536398467432
0.86	0	448	0.7126436781609196	0.17049808429118773	0.11685823754789272
0.88	0	449	0.710727969348659	0.1724137931034483	0.11685823754789272
0.9	0	452	0.7164750957854407	0.1724137931034483	0.1111111111111111
0.92	0	451	0.7145593869731801	0.1724137931034483	0.11302681992337164
0.9400000000000001	0	450	0.7164750957854407	0.17049808429118773	0.11302681992337164
0.96	0	452	0.7164750957854407	0.1724137931034483	0.1111111111111111
0.98	0	453	0.7222222222222222	0.17049808429118773	0.10727969348659004
1.0	0	454	0.7241379310344828	0.17049808429118773	0.1053639846743295
0.0	4	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	4	211	0.5344827586206896	0.032567049808429116	0.4329501915708812
0.04	4	233	0.5574712643678161	0.0421455938697318	0.4003831417624521
0.06	4	245	0.5651340996168582	0.04980842911877394	0.3850574712643678
0.08	4	249	0.553639846743295	0.05938697318007663	0.38697318007662834
0.1	4	264	0.5593869731800766	0.07088122605363985	0.36973180076628354
0.12	4	282	0.5938697318007663	0.07088122605363985	0.33524904214559387
0.14	4	293	0.5881226053639846	0.0842911877394636	0.3275862068965517
0.16	4	292	0.5862068965517241	0.0842911877394636	0.32950191570881227
0.18	4	308	0.6130268199233716	0.08620689655172414	0.3007662835249042
0.2	4	316	0.6206896551724138	0.09003831417624521	0.289272030651341
0.22	4	327	0.6302681992337165	0.09578544061302682	0.2739463601532567
0.24	4	338	0.6091954022988506	0.11685823754789272	0.2739463601532567
0.26	4	348	0.6091954022988506	0.12643678160919541	0.26436781609195403
0.28	4	362	0.6168582375478927	0.1360153256704981	0.2471264367816092
0.3	4	365	0.6264367816091954	0.13409961685823754	0.23946360153256704
0.32	4	368	0.6436781609195402	0.12835249042145594	0.22796934865900384
0.34	4	374	0.6436781609195402	0.13409961685823754	0.2222222222222222
0.36	4	379	0.6417624521072797	0.13984674329501914	0.21839080459770116
0.38	4	385	0.657088122605364	0.13793103448275862	0.2049808429118774
0.4	4	392	0.6743295019157088	0.1360153256704981	0.1896551724137931
0.42	4	388	0.6781609195402298	0.13026819923371646	0.19157088122605365
0.44	4	383	0.6532567049808429	0.13793103448275862	0.20881226053639848
0.46	4	381	0.6455938697318008	0.13984674329501914	0.21455938697318008
0.48	4	388	0.6436781609195402	0.1475095785440613	0.20881226053639848
0.5	4	390	0.6436781609195402	0.14942528735632185	0.20689655172413793
0.52	4	391	0.6532567049808429	0.14559386973180077	0.20114942528735633
0.54	4	394	0.6628352490421456	0.14367816091954022	0.19348659003831417
0.56	4	396	0.6628352490421456	0.14559386973180077	0.19157088122605365
0.58	4	402	0.6743295019157088	0.14559386973180077	0.18007662835249041
0.6	4	408	0.6819923371647509	0.1475095785440613	0.17049808429118773
0.62	4	415	0.6915708812260536	0.14942528735632185	0.15900383141762453
