#p	 replica	 essentials	 correct	 fp	 fn
0.76	0	484	0.7547892720306514	0.1839080459770115	0.06130268199233716
0.78	0	487	0.7567049808429118	0.18582375478927204	0.05747126436781609
0.8	0	487	0.7567049808429118	0.18582375478927204	0.05747126436781609
0.8200000000000001	0	488	0.7624521072796935	0.1839080459770115	0.05363984674329502
0.84	0	491	0.7681992337164751	0.1839080459770115	0.04789272030651341
0.86	0	493	0.7720306513409961	0.1839080459770115	0.044061302681992334
0.88	0	492	0.7662835249042146	0.18582375478927204	0.04789272030651341
0.9	0	495	0.7720306513409961	0.18582375478927204	0.0421455938697318
0.92	0	500	0.7816091954022989	0.18582375478927204	0.032567049808429116
0.9400000000000001	0	499	0.7758620689655172	0.18773946360153257	0.03639846743295019
0.96	0	498	0.7739463601532567	0.18773946360153257	0.038314176245210725
0.98	0	505	0.7796934865900383	0.19157088122605365	0.028735632183908046
1.0	0	500	0.7701149425287356	0.19157088122605365	0.038314176245210725
0.0	7	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	7	249	0.5957854406130269	0.038314176245210725	0.36590038314176243
0.04	7	278	0.6130268199233716	0.05747126436781609	0.32950191570881227
0.06	7	250	0.524904214559387	0.07471264367816093	0.4003831417624521
0.08	7	292	0.5823754789272031	0.08620689655172414	0.3314176245210728
0.1	7	320	0.5900383141762452	0.10919540229885058	0.3007662835249042
0.12	7	327	0.603448275862069	0.10919540229885058	0.28735632183908044
0.14	7	359	0.6340996168582376	0.12452107279693486	0.2413793103448276
0.16	7	375	0.6685823754789272	0.12260536398467432	0.20881226053639848
0.18	7	387	0.6839080459770115	0.12643678160919541	0.1896551724137931
0.2	7	398	0.685823754789272	0.1360153256704981	0.1781609195402299
0.22	7	399	0.6954022988505747	0.13218390804597702	0.1724137931034483
0.24	7	402	0.6743295019157088	0.14559386973180077	0.18007662835249041
0.26	7	413	0.6839080459770115	0.15134099616858238	0.16475095785440613
0.28	7	417	0.6800766283524904	0.15708812260536398	0.16283524904214558
0.3	7	428	0.6896551724137931	0.16283524904214558	0.1475095785440613
0.32	7	431	0.6992337164750958	0.16091954022988506	0.13984674329501914
0.34	7	428	0.6934865900383141	0.16091954022988506	0.14559386973180077
0.36	7	436	0.7011494252873564	0.16475095785440613	0.13409961685823754
0.38	7	440	0.7126436781609196	0.16283524904214558	0.12452107279693486
0.4	7	444	0.7164750957854407	0.16475095785440613	0.11877394636015326
0.42	7	443	0.6992337164750958	0.1724137931034483	0.12835249042145594
0.44	7	449	0.7030651340996169	0.17624521072796934	0.1206896551724138
0.46	7	447	0.6992337164750958	0.17624521072796934	0.12452107279693486
0.48	7	453	0.7145593869731801	0.1743295019157088	0.1111111111111111
0.5	7	457	0.7183908045977011	0.17624521072796934	0.1053639846743295
0.52	7	458	0.7203065134099617	0.17624521072796934	0.10344827586206896
0.54	7	456	0.7126436781609196	0.1781609195402299	0.10919540229885058
0.56	7	456	0.7088122605363985	0.18007662835249041	0.1111111111111111
0.58	7	463	0.7183908045977011	0.18199233716475097	0.09961685823754789
0.6	7	460	0.7164750957854407	0.18007662835249041	0.10344827586206896
0.62	7	455	0.7145593869731801	0.17624521072796934	0.10919540229885058
